caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,totalCases,reviewedCases,invalidations,emergencyOrders,emergencyReliefs,meritsReviews,meritsInvalidations,overrides,intakeFilings,screenedFilings,directionalScore,reviewRate,intakeAcceptanceRate,emergencyReliefRate,meritsReviewRate,meritsInvalidationRate,emergencyReasonGivingRate,emergencyVoteDisclosureRate,emergencyPublicDisagreementRate,governmentEmergencyApplicantShare,governmentEmergencyWinRate,meritsFollowUpRate,legalStability,rightsProtection,partisanAlignment,shadowDocketAbuse,legitimacy,reversalRate,constitutionalConflict,democraticResponsiveness,legislativeResponseCredibility,caseSelectionAccess,governmentRepeatPlayerAdvantage,implementationCapacity,democraticConstitutionalism,vetoRelocationRisk,legalTransplantFeasibility,politicalCultureSensitivity,independenceAccountabilityBalance,concurrenceFragmentation,dissentIntensity,recusalRate,enBancRate,crossCheckRate,councilScreenRate,overrideRate,weakFormDeclarationRate,suspendedDeclarationRate,legislativeResponseRate,invalidationLegislativeResponseRate,averageLegislativeResponseDelay,timelyLegislativeResponseRate,rightsImpactStatementRate,ombudsmanTriggerRate,publicDefenderParticipationRate,preEnactmentReviewRate,abstractReviewRate,preliminaryReferenceRate,appealRouteRate,directActionRate,lowerCourtConflict,averageTimeToReview,replacementRate,stateCaseShare,mixedJurisdictionShare,averageLowerCourtDepth,stateFederalTension,intercourtConflict,complianceRate,defianceRate,workaroundRate,repeatedLitigationRate,executiveImplementationRate,agencyNonacquiescenceRate,legislativeReenactmentRate,invalidationLegislativeReenactmentRate,localGovernmentComplianceRate,publicTrust,legislativeConflict,courtCurbingPressure,amendmentPressure,administrativeLoad,directCourtCost,upstreamScreeningCost,capacityStrainCost,institutionalBudgetCost,institutionalDelayCost,implementationComplexity,totalInstitutionalCost,statuteDispositions,statuteNullifications,statuteNullificationRate
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,9600,9600,701,44,0,9600,701,0,464881,455281,0.694,1.000,0.021,0.000,1.000,0.073,0.841,0.773,0.023,1.000,0.000,1.000,0.978,0.807,0.096,0.000,0.847,0.073,0.188,0.622,0.586,0.340,0.339,0.595,0.722,0.607,0.640,0.751,0.804,0.116,0.144,0.059,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.342,0.331,0.300,2.397,0.526,0.466,0.852,0.020,0.033,0.051,0.848,0.013,0.009,0.026,0.666,0.591,0.083,0.014,0.013,0.821,0.514,0.663,0.557,0.575,0.569,0.606,0.578,6263,387,0.062
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,9600,9600,540,105,0,9495,540,0,464507,454907,0.694,1.000,0.021,0.000,0.989,0.057,0.695,0.657,0.143,1.000,0.000,0.000,0.990,0.807,0.089,0.003,0.874,0.056,0.175,0.625,0.588,0.340,0.339,0.609,0.724,0.673,0.643,0.743,0.934,0.096,0.115,0.059,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.538,0.331,0.300,2.397,0.526,0.466,0.849,0.021,0.033,0.050,0.847,0.013,0.009,0.013,0.665,0.724,0.076,0.012,0.012,0.685,0.438,0.663,0.469,0.502,0.512,0.548,0.521,6200,288,0.046
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,9600,9600,938,104,0,9496,938,260,464520,454920,0.673,1.000,0.021,0.000,0.989,0.099,0.596,0.510,0.135,1.000,0.000,0.000,0.967,0.802,0.112,0.003,0.785,0.098,0.190,0.621,0.576,0.340,0.339,0.621,0.722,0.442,0.644,0.740,0.810,0.163,0.155,0.034,0.000,0.000,0.000,0.277,0.000,0.000,0.027,0.277,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.288,0.331,0.300,2.397,0.526,0.466,0.822,0.035,0.044,0.064,0.802,0.020,0.016,0.044,0.645,0.362,0.106,0.021,0.034,0.426,0.307,0.663,0.402,0.375,0.444,0.498,0.454,6199,518,0.084
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,9600,9600,400,116,0,9484,400,199,464451,454851,0.682,1.000,0.021,0.000,0.988,0.042,0.586,0.509,0.155,0.991,0.000,0.000,0.979,0.801,0.107,0.004,0.823,0.042,0.178,0.631,0.576,0.340,0.339,0.618,0.732,0.420,0.643,0.741,0.902,0.185,0.066,0.035,0.000,0.000,0.000,0.498,0.000,0.000,0.021,0.498,0.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.697,0.331,0.300,2.397,0.526,0.466,0.826,0.029,0.038,0.055,0.826,0.018,0.009,0.015,0.652,0.531,0.083,0.013,0.022,0.446,0.318,0.663,0.439,0.386,0.448,0.524,0.470,6197,208,0.034
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,9600,9600,936,63,0,9600,936,0,464771,455171,0.710,1.000,0.021,0.000,1.000,0.098,0.921,0.683,0.016,1.000,0.000,1.000,0.977,0.805,0.098,0.000,0.848,0.098,0.182,0.615,0.588,0.340,0.339,0.606,0.733,0.443,0.642,0.750,0.852,0.102,0.151,0.043,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.348,0.331,0.300,2.397,0.526,0.466,0.852,0.021,0.034,0.051,0.839,0.015,0.010,0.025,0.676,0.599,0.086,0.016,0.013,0.500,0.429,0.663,0.420,0.497,0.473,0.603,0.512,6263,521,0.083
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,9600,9600,0,114,0,9486,0,0,9660,60,0.721,1.000,0.994,0.000,0.988,0.000,0.693,0.596,0.079,1.000,0.000,0.000,0.993,0.801,0.086,0.004,0.871,0.000,0.164,0.638,0.594,0.457,0.339,0.649,0.763,0.222,0.678,0.777,0.891,0.098,0.116,0.036,0.000,0.000,0.000,0.000,0.095,0.000,0.096,0.000,0.422,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.301,0.331,0.300,2.397,0.526,0.466,0.853,0.015,0.033,0.052,0.856,0.013,0.009,0.000,0.675,0.804,0.069,0.010,0.010,0.427,0.307,0.359,0.274,0.309,0.401,0.383,0.341,6194,0,0.000
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,9600,9600,1154,70,0,9600,1154,0,9651,51,0.739,1.000,0.995,0.000,1.000,0.120,0.886,0.600,0.014,1.000,0.000,1.000,0.978,0.800,0.099,0.000,0.831,0.120,0.189,0.638,0.597,0.457,0.339,0.639,0.746,0.262,0.624,0.853,0.855,0.116,0.147,0.034,0.000,0.000,0.000,0.000,0.000,0.120,0.120,1.000,0.320,0.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.350,0.331,0.300,2.397,0.526,0.466,0.851,0.026,0.035,0.049,0.841,0.017,0.011,0.025,0.661,0.503,0.095,0.018,0.017,0.430,0.326,0.412,0.278,0.339,0.408,0.426,0.365,6263,632,0.101
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,9600,9600,863,107,0,9493,863,0,95878,86278,0.678,1.000,0.100,0.000,0.989,0.091,0.589,0.533,0.168,1.000,0.000,0.000,0.976,0.806,0.105,0.003,0.831,0.090,0.174,0.617,0.577,0.350,0.339,0.631,0.731,0.394,0.632,0.880,0.833,0.144,0.139,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.910,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.295,0.331,0.300,2.397,0.526,0.466,0.846,0.023,0.034,0.051,0.837,0.016,0.011,0.038,0.663,0.589,0.082,0.015,0.014,0.426,0.307,0.553,0.342,0.351,0.428,0.465,0.412,6200,485,0.078
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,9600,9600,486,102,0,9498,486,0,9685,85,0.705,1.000,0.991,0.000,0.989,0.051,0.725,0.637,0.118,0.990,0.000,0.000,0.991,0.811,0.085,0.003,0.871,0.051,0.174,0.626,0.586,0.457,0.339,0.628,0.734,0.511,0.581,0.849,0.943,0.089,0.129,0.060,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,1.000,0.687,0.000,0.000,0.000,0.396,0.603,0.541,0.331,0.300,2.397,0.526,0.466,0.849,0.019,0.033,0.050,0.849,0.013,0.010,0.029,0.669,0.726,0.074,0.012,0.011,0.686,0.438,0.358,0.340,0.434,0.461,0.493,0.416,6199,255,0.041
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,abstract-review-tribunal,Abstract review tribunal,synthetic_mechanism,abstract_review,9600,9600,1117,41,0,9600,1117,0,9639,39,0.706,1.000,0.996,0.000,1.000,0.116,0.780,0.683,0.049,1.000,0.000,1.000,0.973,0.808,0.106,0.000,0.827,0.116,0.186,0.609,0.586,0.457,0.339,0.631,0.733,0.314,0.565,0.921,0.785,0.113,0.195,0.060,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.000,0.000,1.000,0.687,0.000,0.000,0.000,0.396,0.603,0.338,0.331,0.300,2.397,0.526,0.466,0.848,0.021,0.038,0.053,0.836,0.017,0.012,0.036,0.671,0.513,0.093,0.018,0.015,0.505,0.406,0.392,0.290,0.414,0.427,0.486,0.397,6263,624,0.100
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,ombudsman-triggered-review,Ombudsman-triggered constitutional review,synthetic_mechanism,ombudsman_triggered_review,9600,9600,1090,95,0,9505,1090,0,1259674,1250074,0.696,1.000,0.008,0.000,0.990,0.115,0.747,0.695,0.211,1.000,0.000,0.000,0.969,0.804,0.101,0.003,0.831,0.114,0.186,0.610,0.586,0.338,0.339,0.618,0.719,0.532,0.604,0.791,0.877,0.115,0.156,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.357,0.331,0.300,2.397,0.526,0.466,0.849,0.025,0.038,0.048,0.843,0.017,0.012,0.029,0.672,0.528,0.091,0.018,0.015,0.430,0.326,0.834,0.447,0.432,0.465,0.465,0.501,6199,601,0.097
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,constitutional-public-defender,Constitutional public defender access model,synthetic_mechanism,constitutional_public_defender,9600,9600,1257,64,1,9600,1257,0,1379667,1370067,0.701,1.000,0.007,0.016,1.000,0.131,0.859,0.672,0.016,1.000,0.016,1.000,0.965,0.805,0.108,0.000,0.814,0.131,0.189,0.605,0.586,0.338,0.339,0.615,0.718,0.519,0.632,0.763,0.858,0.128,0.175,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.352,0.331,0.300,2.397,0.526,0.466,0.834,0.030,0.045,0.055,0.819,0.019,0.016,0.037,0.657,0.433,0.101,0.021,0.022,0.430,0.326,0.813,0.449,0.428,0.463,0.497,0.502,6263,719,0.115
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,rights-impact-statement-review,Rights-impact statements before review,synthetic_mechanism,rights_impact_statement,9600,9600,393,115,0,9485,393,0,9685,85,0.744,1.000,0.991,0.000,0.988,0.041,0.713,0.661,0.113,1.000,0.000,0.000,0.992,0.868,0.082,0.004,0.901,0.041,0.172,0.628,0.588,0.457,0.339,0.626,0.759,0.504,0.699,0.726,0.937,0.084,0.083,0.059,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.687,0.000,0.000,0.000,0.396,0.603,0.556,0.331,0.300,2.397,0.526,0.466,0.862,0.015,0.032,0.046,0.855,0.014,0.009,0.033,0.676,0.804,0.070,0.010,0.009,0.683,0.413,0.387,0.340,0.415,0.464,0.516,0.420,6200,202,0.033
legislative-all,All imported legislative outputs,Docket generated from every imported legislative campaign row.,mandatory-legislative-response,Mandatory legislative response cycles,synthetic_mechanism,mandatory_legislative_response,9600,9600,815,59,0,9600,815,224,9648,48,0.708,1.000,0.995,0.000,1.000,0.085,0.814,0.627,0.017,1.000,0.000,1.000,0.979,0.799,0.088,0.000,0.858,0.085,0.180,0.624,0.589,0.457,0.339,0.634,0.743,0.276,0.616,0.938,0.923,0.098,0.098,0.035,0.000,0.000,0.000,0.275,0.000,0.000,0.085,1.000,0.440,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.603,0.371,0.331,0.300,2.397,0.526,0.466,0.840,0.023,0.038,0.051,0.838,0.015,0.011,0.032,0.660,0.604,0.083,0.014,0.014,0.429,0.309,0.435,0.280,0.327,0.409,0.490,0.377,6263,446,0.071
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,9600,9600,1747,65,32,9535,1747,0,458704,449104,0.594,1.000,0.021,0.492,0.993,0.183,0.031,0.246,0.585,0.954,0.516,0.000,0.946,0.786,0.164,0.005,0.694,0.182,0.214,0.576,0.539,0.340,0.352,0.628,0.672,0.545,0.642,0.772,0.654,0.219,0.274,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.109,0.317,0.323,2.425,0.548,0.480,0.643,0.114,0.110,0.123,0.629,0.072,0.055,0.106,0.467,0.130,0.472,0.410,0.254,0.416,0.301,0.667,0.385,0.370,0.444,0.413,0.436,6168,933,0.151
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,9600,9600,1318,56,9,9544,1318,0,458739,449139,0.625,1.000,0.021,0.161,0.994,0.138,0.000,0.339,0.500,0.982,0.164,0.000,0.958,0.793,0.146,0.004,0.709,0.137,0.203,0.591,0.537,0.340,0.352,0.628,0.687,0.534,0.643,0.770,0.750,0.197,0.224,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.272,0.317,0.323,2.425,0.548,0.480,0.719,0.075,0.081,0.093,0.704,0.045,0.036,0.066,0.537,0.155,0.293,0.181,0.144,0.424,0.306,0.667,0.400,0.375,0.446,0.416,0.441,6175,697,0.113
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,9600,9600,996,12,0,9588,996,0,458976,449376,0.689,1.000,0.021,0.000,0.999,0.104,0.917,0.667,0.333,1.000,0.000,0.000,0.970,0.797,0.124,0.000,0.769,0.104,0.194,0.602,0.552,0.340,0.352,0.625,0.711,0.447,0.643,0.771,0.820,0.152,0.174,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.340,0.317,0.323,2.425,0.548,0.480,0.790,0.047,0.057,0.071,0.778,0.023,0.023,0.049,0.611,0.243,0.160,0.044,0.053,0.436,0.360,0.667,0.407,0.430,0.447,0.438,0.460,6201,526,0.085
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,9600,9600,1089,7,1,9593,1089,0,459003,449403,0.645,1.000,0.021,0.143,0.999,0.114,0.571,0.286,0.714,1.000,0.143,0.000,0.970,0.796,0.143,0.000,0.738,0.113,0.196,0.599,0.545,0.340,0.352,0.624,0.704,0.457,0.642,0.775,0.687,0.188,0.235,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.113,0.317,0.323,2.425,0.548,0.480,0.775,0.051,0.066,0.074,0.761,0.027,0.027,0.053,0.596,0.195,0.197,0.077,0.074,0.416,0.301,0.667,0.385,0.370,0.444,0.475,0.446,6204,568,0.092
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,9600,9600,910,14,0,9586,910,0,458961,449361,0.694,1.000,0.021,0.000,0.999,0.095,0.571,0.929,0.214,1.000,0.000,0.000,0.971,0.798,0.123,0.000,0.795,0.095,0.192,0.604,0.559,0.340,0.352,0.621,0.717,0.445,0.642,0.775,0.840,0.153,0.166,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.344,0.317,0.323,2.425,0.548,0.480,0.809,0.037,0.047,0.064,0.794,0.022,0.016,0.041,0.621,0.309,0.138,0.034,0.034,0.436,0.359,0.667,0.407,0.429,0.447,0.472,0.465,6198,478,0.077
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,9600,9600,1476,3,0,9600,1476,0,459020,449420,0.703,1.000,0.021,0.000,1.000,0.154,1.000,1.000,0.000,1.000,0.000,1.000,0.959,0.791,0.137,0.000,0.782,0.154,0.205,0.586,0.567,0.340,0.352,0.622,0.706,0.456,0.642,0.776,0.737,0.161,0.235,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.272,0.317,0.323,2.425,0.548,0.480,0.781,0.049,0.063,0.076,0.766,0.030,0.025,0.049,0.602,0.215,0.208,0.086,0.066,0.428,0.307,0.667,0.400,0.376,0.446,0.471,0.450,6209,788,0.127
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,9600,9600,1074,12,0,9588,1074,0,458974,449374,0.663,1.000,0.021,0.000,0.999,0.112,0.333,0.417,0.333,1.000,0.000,0.000,0.968,0.796,0.122,0.000,0.783,0.112,0.196,0.600,0.557,0.340,0.352,0.620,0.712,0.444,0.642,0.773,0.852,0.140,0.145,0.037,0.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.344,0.317,0.323,2.425,0.548,0.480,0.791,0.042,0.057,0.075,0.776,0.027,0.024,0.051,0.600,0.265,0.163,0.050,0.049,0.520,0.408,0.667,0.422,0.476,0.482,0.449,0.483,6200,565,0.091
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,9600,9600,745,0,0,9600,745,0,459038,449438,0.638,1.000,0.021,0.000,1.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.799,0.112,0.000,0.806,0.078,0.201,0.609,0.563,0.340,0.352,0.594,0.707,0.607,0.639,0.789,0.811,0.124,0.161,0.063,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.342,0.317,0.323,2.425,0.548,0.480,0.813,0.036,0.045,0.061,0.800,0.019,0.016,0.034,0.627,0.306,0.134,0.027,0.031,0.826,0.515,0.667,0.557,0.576,0.572,0.607,0.580,6209,380,0.061
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,9600,9600,588,7,0,9593,588,0,459000,449400,0.692,1.000,0.021,0.000,0.999,0.061,0.857,0.714,0.143,1.000,0.000,0.000,0.990,0.799,0.103,0.000,0.840,0.061,0.185,0.613,0.564,0.340,0.352,0.608,0.711,0.674,0.641,0.781,0.939,0.103,0.128,0.064,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.538,0.317,0.323,2.425,0.548,0.480,0.827,0.029,0.042,0.054,0.810,0.017,0.012,0.022,0.635,0.490,0.110,0.022,0.017,0.689,0.439,0.667,0.468,0.503,0.515,0.548,0.523,6206,309,0.050
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,9600,9600,1115,11,0,9589,1115,370,458978,449378,0.652,1.000,0.021,0.000,0.999,0.116,0.636,0.182,0.091,1.000,0.000,0.000,0.961,0.792,0.133,0.000,0.755,0.116,0.207,0.608,0.555,0.340,0.352,0.619,0.704,0.442,0.642,0.779,0.817,0.172,0.191,0.037,0.000,0.000,0.000,0.332,0.000,0.000,0.039,0.332,0.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.288,0.317,0.323,2.425,0.548,0.480,0.751,0.064,0.069,0.082,0.739,0.031,0.029,0.057,0.566,0.184,0.225,0.092,0.102,0.429,0.307,0.667,0.402,0.376,0.447,0.499,0.456,6198,593,0.096
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,9600,9600,464,8,0,9592,464,278,459000,449400,0.666,1.000,0.021,0.000,0.999,0.048,0.500,0.375,0.125,1.000,0.000,0.000,0.975,0.792,0.126,0.000,0.790,0.048,0.190,0.620,0.554,0.340,0.352,0.617,0.718,0.420,0.642,0.780,0.898,0.199,0.074,0.036,0.000,0.000,0.000,0.599,0.000,0.000,0.029,0.599,0.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.697,0.317,0.323,2.425,0.548,0.480,0.794,0.045,0.046,0.066,0.779,0.020,0.013,0.037,0.613,0.299,0.125,0.026,0.042,0.449,0.319,0.667,0.438,0.387,0.451,0.525,0.471,6204,250,0.040
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,9600,9600,1003,2,0,9600,1003,0,459025,449425,0.697,1.000,0.021,0.000,1.000,0.104,1.000,0.500,0.000,1.000,0.000,1.000,0.974,0.797,0.114,0.000,0.808,0.104,0.194,0.602,0.565,0.340,0.352,0.604,0.717,0.444,0.640,0.788,0.859,0.109,0.173,0.047,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.348,0.317,0.323,2.425,0.548,0.480,0.809,0.039,0.049,0.064,0.796,0.022,0.018,0.038,0.627,0.320,0.142,0.036,0.034,0.508,0.430,0.667,0.421,0.499,0.478,0.604,0.514,6209,542,0.087
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,9600,9600,0,11,0,9589,0,0,9604,4,0.702,1.000,1.000,0.000,0.999,0.000,0.455,0.636,0.273,1.000,0.000,0.000,0.993,0.792,0.101,0.000,0.850,0.000,0.173,0.627,0.572,0.457,0.352,0.648,0.752,0.222,0.677,0.815,0.898,0.104,0.130,0.037,0.000,0.000,0.000,0.000,0.103,0.000,0.103,0.000,0.437,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.301,0.317,0.323,2.425,0.548,0.480,0.835,0.023,0.035,0.055,0.823,0.016,0.008,0.000,0.645,0.671,0.099,0.019,0.014,0.429,0.308,0.363,0.274,0.310,0.404,0.384,0.342,6200,0,0.000
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,9600,9600,1255,4,0,9600,1255,0,9603,3,0.720,1.000,1.000,0.000,1.000,0.131,0.750,0.500,0.000,1.000,0.000,1.000,0.975,0.789,0.116,0.000,0.795,0.131,0.203,0.627,0.575,0.457,0.352,0.638,0.730,0.262,0.622,0.892,0.862,0.123,0.168,0.037,0.000,0.000,0.000,0.000,0.000,0.131,0.131,1.000,0.334,0.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.350,0.317,0.323,2.425,0.548,0.480,0.811,0.041,0.049,0.064,0.788,0.024,0.018,0.037,0.616,0.259,0.169,0.054,0.046,0.433,0.326,0.416,0.278,0.340,0.411,0.427,0.367,6209,681,0.110
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,9600,9600,1002,6,0,9594,1002,0,94715,85115,0.672,1.000,0.101,0.000,0.999,0.104,0.833,0.500,0.167,1.000,0.000,0.000,0.971,0.797,0.124,0.000,0.790,0.104,0.185,0.602,0.555,0.349,0.352,0.630,0.715,0.394,0.630,0.919,0.840,0.152,0.171,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.877,0.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.617,0.295,0.317,0.323,2.425,0.548,0.480,0.798,0.042,0.053,0.066,0.790,0.023,0.020,0.044,0.611,0.306,0.136,0.034,0.034,0.429,0.307,0.556,0.341,0.352,0.431,0.466,0.413,6204,530,0.085
legislative-high-capture,High-capture legislative outputs,Imported rows with high lobby-capture or proposer-gain signals.,pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,9600,9600,506,8,0,9592,506,0,9608,8,0.711,1.000,0.999,0.000,0.999,0.053,0.875,0.875,0.000,1.000,0.000,0.000,0.991,0.804,0.099,0.000,0.839,0.053,0.184,0.615,0.562,0.457,0.352,0.627,0.721,0.512,0.579,0.887,0.948,0.095,0.144,0.063,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,1.000,0.731,0.000,0.000,0.000,0.416,0.617,0.541,0.317,0.323,2.425,0.548,0.480,0.821,0.033,0.040,0.061,0.815,0.019,0.013,0.045,0.629,0.499,0.109,0.022,0.020,0.689,0.439,0.362,0.339,0.436,0.465,0.494,0.418,6207,272,0.044
